"No.","Time","Source","Destination","Protocol","Length","Info"
"209","0.558238","192.168.86.162","8.8.4.4","TCP","78","56133  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=964211522 TSecr=0 SACK_PERM"
"215","0.570389","192.168.86.162","192.225.158.2","TCP","78","56134  >  3478 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2162177459 TSecr=0 SACK_PERM"
"216","0.570645","192.168.86.162","192.225.158.2","TCP","78","56135  >  3478 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3800275674 TSecr=0 SACK_PERM"
"223","0.575112","192.168.86.30","192.168.86.162","TCP","414","8009  >  50948 [PSH, ACK] Seq=1741 Ack=1 Win=679 Len=348 TSval=3963810261 TSecr=2223796380"
"224","0.575113","192.168.86.30","192.168.86.162","TCP","1458","8009  >  50948 [PSH, ACK] Seq=2089 Ack=1 Win=679 Len=1392 TSval=3963810262 TSecr=2223796380"
"225","0.575113","8.8.4.4","192.168.86.162","TCP","1466","[TCP Spurious Retransmission] 443  >  56129 [ACK] Seq=1 Ack=518 Win=268800 Len=1400 TSval=1169388497 TSecr=252729454"
"226","0.575197","192.168.86.162","8.8.4.4","TCP","78","[TCP Retransmission] 56129  >  443 [FIN, ACK] Seq=606 Ack=4244 Win=131072 Len=0 TSval=252729495 TSecr=1169388457 SLE=1 SRE=1401"
"232","0.600288","8.8.4.4","192.168.86.162","TCP","66","853  >  56128 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=4095563262 TSecr=2969101581"
"233","0.600288","8.8.4.4","192.168.86.162","TCP","66","[TCP Dup ACK 232#1] 853  >  56128 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=4095563262 TSecr=2969101581"
"235","0.600289","192.168.86.172","192.168.86.162","TCP","407","8009  >  50803 [PSH, ACK] Seq=1365 Ack=1 Win=679 Len=341 TSval=2311859076 TSecr=1947085131"
"236","0.600289","192.168.86.172","192.168.86.162","TCP","407","8009  >  50803 [PSH, ACK] Seq=1706 Ack=1 Win=679 Len=341 TSval=2311859089 TSecr=1947085131"
"237","0.600290","8.8.4.4","192.168.86.162","TCP","1466","853  >  56128 [PSH, ACK] Seq=1401 Ack=518 Win=268800 Len=1400 TSval=4095563270 TSecr=2969101581 [TCP PDU reassembled in 240]"
"238","0.600290","192.168.86.172","192.168.86.162","TCP","1430","8009  >  50803 [PSH, ACK] Seq=2047 Ack=1 Win=679 Len=1364 TSval=2311859097 TSecr=1947085131"
"239","0.600291","8.8.4.4","192.168.86.162","TCP","1466","853  >  56128 [ACK] Seq=2801 Ack=518 Win=268800 Len=1400 TSval=4095563270 TSecr=2969101581 [TCP PDU reassembled in 240]"
"241","0.600416","192.168.86.162","8.8.4.4","TCP","66","56128  >  853 [ACK] Seq=518 Ack=4235 Win=127360 Len=0 TSval=2969101694 TSecr=4095563270"
"248","0.602839","192.168.86.162","8.8.4.4","TCP","66","[TCP Window Update] 56128  >  853 [ACK] Seq=518 Ack=4235 Win=131072 Len=0 TSval=2969101696 TSecr=4095563270"
"249","0.606049","192.168.86.162","35.186.224.46","TCP","54","49603  >  443 [RST, ACK] Seq=1 Ack=1 Win=2048 Len=0"
"251","0.616387","192.168.86.162","35.186.224.46","TCP","78","56136  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1861186122 TSecr=0 SACK_PERM"
"254","0.620715","192.168.86.162","17.57.144.119","TCP","78","56137  >  5223 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=277353195 TSecr=0 SACK_PERM"
"274","0.634265","192.168.86.162","162.125.40.1","TCP","78","56138  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2625281965 TSecr=0 SACK_PERM"
"275","0.634286","192.168.86.162","35.186.224.24","TCP","78","56139  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3595726950 TSecr=0 SACK_PERM"
"282","0.663557","192.168.86.162","8.8.8.8","TCP","78","56140  >  853 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=937327983 TSecr=0 SACK_PERM"
"283","0.663949","192.168.86.162","8.8.8.8","TCP","78","56141  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2699599865 TSecr=0 SACK_PERM"
"284","0.667078","35.186.224.31","192.168.86.162","TCP","74","443  >  56131 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=3154475703 TSecr=2034207587 WS=256"
"285","0.667079","35.186.224.24","192.168.86.162","TCP","74","443  >  56130 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=4072470178 TSecr=3741464280 WS=256"
"286","0.667157","192.168.86.162","35.186.224.31","TCP","66","56131  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=2034207722 TSecr=3154475703"
"287","0.667172","192.168.86.162","35.186.224.24","TCP","66","56130  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=3741464415 TSecr=4072470178"
"288","0.667407","192.168.86.162","35.186.224.31","TCP","1466","56131  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=2034207722 TSecr=3154475703 [TCP PDU reassembled in 289]"
"290","0.667643","192.168.86.162","35.186.224.24","TCP","1466","56130  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=3741464415 TSecr=4072470178 [TCP PDU reassembled in 291]"
"294","0.684832","192.168.86.30","192.168.86.162","TCP","1458","[TCP Retransmission] 8009  >  50948 [PSH, ACK] Seq=2089 Ack=1 Win=679 Len=1392 TSval=3963810354 TSecr=2223796380"
"296","0.684833","192.168.86.172","192.168.86.162","TCP","1430","[TCP Retransmission] 8009  >  50803 [PSH, ACK] Seq=2047 Ack=1 Win=679 Len=1364 TSval=2311859187 TSecr=1947085131"
"298","0.693669","8.8.4.4","192.168.86.162","TCP","78","[TCP Dup ACK 171#1] 443  >  56129 [ACK] Seq=4244 Ack=518 Win=268800 Len=0 TSval=1169388610 TSecr=252729457 SLE=606 SRE=607"
"299","0.693670","8.8.4.4","192.168.86.162","TCP","78","443  >  56129 [ACK] Seq=4244 Ack=582 Win=268800 Len=0 TSval=1169388610 TSecr=252729490 SLE=606 SRE=607"
"301","0.693670","8.8.4.4","192.168.86.162","TCP","74","443  >  56133 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2868266519 TSecr=964211522 WS=256"
"302","0.693670","8.8.4.4","192.168.86.162","TCP","66","443  >  56129 [FIN, ACK] Seq=4858 Ack=607 Win=268800 Len=0 TSval=1169388611 TSecr=252729492"
"303","0.693712","192.168.86.162","8.8.4.4","TCP","154","[TCP Spurious Retransmission] 56129  >  443 [FIN, PSH, ACK] Seq=518 Ack=4244 Win=131072 Len=88 TSval=252729614 TSecr=1169388610"
"304","0.693746","192.168.86.162","8.8.4.4","TCP","54","56129  >  443 [RST] Seq=607 Win=0 Len=0"
"305","0.693827","192.168.86.162","8.8.4.4","TCP","66","56133  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=964211658 TSecr=2868266519"
"309","0.722922","17.57.144.119","192.168.86.162","TCP","74","5223  >  56137 [SYN, ACK] Seq=0 Ack=1 Win=31856 Len=0 MSS=1460 SACK_PERM TSval=1112172508 TSecr=277353195 WS=128"
"310","0.722956","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=277353297 TSecr=1112172508"
"312","0.729589","8.8.4.4","192.168.86.162","TCP","66","443  >  56133 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=2868266562 TSecr=964211659"
"317","0.736326","8.8.4.4","192.168.86.162","TCP","1466","[TCP Out-Of-Order] 443  >  56133 [ACK] Seq=1 Ack=518 Win=268800 Len=1400 TSval=2868266569 TSecr=964211659"
"318","0.736376","192.168.86.162","8.8.4.4","TCP","78","[TCP Dup ACK 305#1] 56133  >  443 [ACK] Seq=518 Ack=1 Win=131584 Len=0 TSval=964211700 TSecr=2868266562 SLE=1401 SRE=4244"
"319","0.736397","192.168.86.162","8.8.4.4","TCP","66","56133  >  443 [ACK] Seq=518 Ack=4244 Win=127296 Len=0 TSval=964211700 TSecr=2868266569"
"320","0.736433","192.168.86.162","8.8.4.4","TCP","66","[TCP Window Update] 56133  >  443 [ACK] Seq=518 Ack=4244 Win=131072 Len=0 TSval=964211700 TSecr=2868266569"
"323","0.776726","8.8.4.4","192.168.86.162","TCP","66","443  >  56133 [ACK] Seq=4244 Ack=582 Win=268800 Len=0 TSval=2868266608 TSecr=964211704"
"325","0.776821","192.168.86.162","8.8.4.4","TCP","54","56133  >  443 [RST] Seq=582 Win=0 Len=0"
"326","0.783160","8.8.4.4","192.168.86.162","TCP","66","443  >  56133 [FIN, ACK] Seq=4858 Ack=607 Win=268800 Len=0 TSval=2868266614 TSecr=964211706"
"329","0.788707","35.186.224.46","192.168.86.162","TCP","74","443  >  56136 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2696658232 TSecr=1861186122 WS=256"
"338","0.788711","192.225.158.2","192.168.86.162","TCP","74","3478  >  56134 [SYN, ACK] Seq=0 Ack=1 Win=15928 Len=0 MSS=1460 SACK_PERM TSval=661161163 TSecr=2162177459 WS=512"
"339","0.788711","8.8.4.4","192.168.86.162","TCP","66","853  >  56128 [ACK] Seq=4235 Ack=607 Win=268800 Len=0 TSval=4095563395 TSecr=2969101715"
"340","0.788712","8.8.4.4","192.168.86.162","TCP","66","853  >  56128 [FIN, ACK] Seq=4235 Ack=607 Win=268800 Len=0 TSval=4095563395 TSecr=2969101715"
"341","0.788712","192.225.158.2","192.168.86.162","TCP","74","3478  >  56135 [SYN, ACK] Seq=0 Ack=1 Win=15928 Len=0 MSS=1460 SACK_PERM TSval=2664381075 TSecr=3800275674 WS=512"
"342","0.788712","8.8.4.4","192.168.86.162","TCP","74","853  >  56132 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=3675486143 TSecr=4029457488 WS=256"
"348","0.788715","162.125.40.1","192.168.86.162","TCP","74","443  >  56138 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM TSval=724434201 TSecr=2625281965 WS=512"
"349","0.788715","35.186.224.24","192.168.86.162","TCP","78","[TCP Dup ACK 285#1] 443  >  56130 [ACK] Seq=1 Ack=1 Win=67072 Len=0 TSval=4072470329 TSecr=3741464415 SLE=1401 SRE=2058"
"350","0.788716","35.186.224.24","192.168.86.162","TCP","66","443  >  56130 [ACK] Seq=1 Ack=2058 Win=69888 Len=0 TSval=4072470329 TSecr=3741464415"
"351","0.788807","192.168.86.162","35.186.224.46","TCP","66","56136  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=1861186295 TSecr=2696658232"
"352","0.788879","192.168.86.162","8.8.4.4","TCP","66","56128  >  853 [ACK] Seq=607 Ack=4236 Win=131072 Len=0 TSval=2969101882 TSecr=4095563395"
"353","0.788904","192.168.86.162","192.225.158.2","TCP","66","56134  >  3478 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2162177678 TSecr=661161163"
"354","0.788932","192.168.86.162","35.186.224.24","TCP","1466","[TCP Spurious Retransmission] 56130  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=3741464537 TSecr=4072470329"
"355","0.788954","192.168.86.162","162.125.40.1","TCP","66","56138  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=2625282120 TSecr=724434201"
"356","0.788970","192.168.86.162","8.8.4.4","TCP","66","56132  >  853 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=4029457719 TSecr=3675486143"
"357","0.788981","192.168.86.162","192.225.158.2","TCP","66","56135  >  3478 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3800275893 TSecr=2664381075"
"361","0.789757","8.8.8.8","192.168.86.162","TCP","74","443  >  56141 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2247890479 TSecr=2699599865 WS=256"
"373","0.790952","192.168.86.162","192.225.158.2","TCP","66","56135  >  3478 [FIN, ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3800275895 TSecr=2664381075"
"374","0.791006","192.168.86.162","192.225.158.2","TCP","66","56134  >  3478 [FIN, ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2162177680 TSecr=661161163"
"395","0.796366","35.186.224.24","192.168.86.162","TCP","74","443  >  56139 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=3137004564 TSecr=3595726950 WS=256"
"396","0.796436","192.168.86.162","35.186.224.24","TCP","66","56139  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=3595727113 TSecr=3137004564"
"397","0.796747","192.168.86.162","35.186.224.24","TCP","1466","56139  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=3595727113 TSecr=3137004564 [TCP PDU reassembled in 398]"
"416","0.806581","35.186.224.31","192.168.86.162","TCP","78","[TCP Dup ACK 284#1] 443  >  56131 [ACK] Seq=1 Ack=1 Win=67072 Len=0 TSval=3154475854 TSecr=2034207722 SLE=1401 SRE=2124"
"417","0.806581","35.186.224.31","192.168.86.162","TCP","66","443  >  56131 [ACK] Seq=1 Ack=2124 Win=69888 Len=0 TSval=3154475854 TSecr=2034207722"
"419","0.806582","8.8.8.8","192.168.86.162","TCP","74","853  >  56140 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2658866776 TSecr=937327983 WS=256"
"422","0.806583","8.8.4.4","192.168.86.162","TCP","54","443  >  56129 [RST] Seq=4244 Win=0 Len=0"
"423","0.806583","17.57.144.119","192.168.86.162","TCP","66","5223  >  56137 [ACK] Seq=1 Ack=518 Win=31872 Len=0 TSval=1112172573 TSecr=277353297"
"427","0.806584","17.57.144.119","192.168.86.162","TCP","1514","5223  >  56137 [PSH, ACK] Seq=1449 Ack=518 Win=31872 Len=1448 TSval=1112172574 TSecr=277353297 [TCP PDU reassembled in 428]"
"429","0.806652","192.168.86.162","35.186.224.24","TCP","66","56130  >  443 [ACK] Seq=2058 Ack=213 Win=131328 Len=0 TSval=3741464555 TSecr=4072470337"
"430","0.806690","192.168.86.162","35.186.224.31","TCP","1466","[TCP Spurious Retransmission] 56131  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=2034207862 TSecr=3154475854"
"431","0.806708","192.168.86.162","35.186.224.31","TCP","66","56131  >  443 [ACK] Seq=2124 Ack=213 Win=131328 Len=0 TSval=2034207862 TSecr=3154475863"
"432","0.806733","192.168.86.162","8.8.8.8","TCP","66","56140  >  853 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=937328126 TSecr=2658866776"
"433","0.806758","192.168.86.162","17.57.144.119","TCP","66","56137  >  5223 [ACK] Seq=518 Ack=3590 Win=128128 Len=0 TSval=277353381 TSecr=1112172574"
"439","0.807296","192.168.86.162","35.186.224.24","TCP","78","56143  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=4284746207 TSecr=0 SACK_PERM"
"454","0.848366","192.168.86.162","13.64.180.106","TCP","78","56144  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3529161127 TSecr=0 SACK_PERM"
"467","0.865665","8.8.4.4","192.168.86.162","TCP","66","[TCP Retransmission] 443  >  56133 [FIN, ACK] Seq=4858 Ack=607 Win=268800 Len=0 TSval=2868266699 TSecr=964211706"
"468","0.873046","35.186.224.46","192.168.86.162","TCP","66","443  >  56136 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=2696658378 TSecr=1861186295"
"470","0.873048","8.8.4.4","192.168.86.162","TCP","66","853  >  56132 [ACK] Seq=1 Ack=518 Win=268800 Len=0 TSval=3675486283 TSecr=4029457720"
"476","0.873309","192.168.86.162","35.186.224.46","TCP","78","[TCP Dup ACK 351#1] 56136  >  443 [ACK] Seq=518 Ack=1 Win=131584 Len=0 TSval=1861186379 TSecr=2696658378 SLE=1401 SRE=2049"
"477","0.873309","192.168.86.162","8.8.4.4","TCP","66","56132  >  853 [ACK] Seq=518 Ack=1401 Win=130176 Len=0 TSval=4029457803 TSecr=3675486291"
"480","0.887448","35.186.224.24","192.168.86.162","TCP","66","443  >  56139 [ACK] Seq=1 Ack=1401 Win=68352 Len=0 TSval=3137004697 TSecr=3595727113"
"481","0.887449","35.186.224.24","192.168.86.162","TCP","66","443  >  56139 [ACK] Seq=1 Ack=2120 Win=71168 Len=0 TSval=3137004718 TSecr=3595727113"
"483","0.887550","192.168.86.162","35.186.224.24","TCP","66","56139  >  443 [ACK] Seq=2120 Ack=213 Win=131328 Len=0 TSval=3595727204 TSecr=3137004725"
"485","0.901170","192.168.86.172","192.168.86.162","TCP","1430","[TCP Retransmission] 8009  >  50803 [PSH, ACK] Seq=1 Ack=1 Win=679 Len=1364 TSval=2311859437 TSecr=1947085131 [TCP PDU reassembled in 231]"
"488","0.911977","192.168.86.30","192.168.86.162","TCP","414","[TCP Retransmission] 8009  >  50948 [PSH, ACK] Seq=1 Ack=1 Win=679 Len=348 TSval=3963810624 TSecr=2223796380"
"494","0.956946","192.225.158.2","192.168.86.162","TCP","66","3478  >  56135 [RST, ACK] Seq=1 Ack=2 Win=16384 Len=0 TSval=2664381214 TSecr=3800275895"
"495","0.956946","35.186.224.31","192.168.86.162","TCP","78","443  >  56131 [ACK] Seq=213 Ack=2188 Win=69888 Len=0 TSval=3154475983 TSecr=2034207862 SLE=1 SRE=1401"
"497","0.956947","192.225.158.2","192.168.86.162","TCP","66","3478  >  56134 [RST, ACK] Seq=1 Ack=2 Win=16384 Len=0 TSval=661161303 TSecr=2162177680"
"498","0.956947","35.186.224.24","192.168.86.162","TCP","74","443  >  56143 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=1713519145 TSecr=4284746207 WS=256"
"503","0.956949","8.8.8.8","192.168.86.162","TCP","66","853  >  56140 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=2658866905 TSecr=937328126"
"511","0.956951","8.8.4.4","192.168.86.162","TCP","1466","853  >  56132 [PSH, ACK] Seq=1401 Ack=518 Win=268800 Len=1400 TSval=3675486291 TSecr=4029457720 [TCP PDU reassembled in 523]"
"512","0.956952","35.186.224.46","192.168.86.162","TCP","1466","[TCP Out-Of-Order] 443  >  56136 [ACK] Seq=1 Ack=518 Win=66816 Len=1400 TSval=2696658380 TSecr=1861186295"
"517","0.957006","8.8.4.4","192.168.86.162","TCP","1466","853  >  56132 [ACK] Seq=2801 Ack=518 Win=268800 Len=1400 TSval=3675486291 TSecr=4029457720 [TCP PDU reassembled in 523]"
"519","0.957007","8.8.8.8","192.168.86.162","TCP","1466","853  >  56140 [PSH, ACK] Seq=1401 Ack=518 Win=268800 Len=1400 TSval=2658866912 TSecr=937328126 [TCP PDU reassembled in 525]"
"524","0.957009","8.8.8.8","192.168.86.162","TCP","1466","853  >  56140 [ACK] Seq=2801 Ack=518 Win=268800 Len=1400 TSval=2658866912 TSecr=937328126 [TCP PDU reassembled in 525]"
"526","0.957100","192.168.86.162","35.186.224.24","TCP","66","56143  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=4284746357 TSecr=1713519145"
"527","0.957119","192.168.86.162","35.186.224.24","TCP","66","56130  >  443 [ACK] Seq=2122 Ack=831 Win=130752 Len=0 TSval=3741464705 TSecr=4072470458"
"528","0.957120","192.168.86.162","35.186.224.31","TCP","66","56131  >  443 [ACK] Seq=2188 Ack=831 Win=130752 Len=0 TSval=2034208012 TSecr=3154475983"
"529","0.957147","192.168.86.162","8.8.8.8","TCP","66","56140  >  853 [ACK] Seq=518 Ack=1401 Win=130176 Len=0 TSval=937328276 TSecr=2658866912"
"530","0.957222","192.168.86.162","35.186.224.46","TCP","66","56136  >  443 [ACK] Seq=518 Ack=2049 Win=129536 Len=0 TSval=1861186463 TSecr=2696658380"
"531","0.957238","192.168.86.162","8.8.4.4","TCP","66","56132  >  853 [ACK] Seq=518 Ack=2801 Win=129664 Len=0 TSval=4029457887 TSecr=3675486291"
"532","0.957276","192.168.86.162","8.8.4.4","TCP","66","56132  >  853 [ACK] Seq=518 Ack=4236 Win=128192 Len=0 TSval=4029457887 TSecr=3675486291"
"533","0.957285","192.168.86.162","35.186.224.46","TCP","66","56136  >  443 [ACK] Seq=518 Ack=3392 Win=128192 Len=0 TSval=1861186463 TSecr=2696658380"
"534","0.957293","192.168.86.162","8.8.8.8","TCP","66","56140  >  853 [ACK] Seq=518 Ack=4236 Win=128192 Len=0 TSval=937328276 TSecr=2658866912"
"535","0.957464","192.168.86.162","8.8.8.8","TCP","66","[TCP Window Update] 56140  >  853 [ACK] Seq=518 Ack=4236 Win=131072 Len=0 TSval=937328276 TSecr=2658866912"
"536","0.957473","192.168.86.162","35.186.224.24","TCP","1466","56143  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=1400 TSval=4284746357 TSecr=1713519145 [TCP PDU reassembled in 537]"
"541","0.957840","192.168.86.162","8.8.4.4","TCP","66","[TCP Window Update] 56132  >  853 [ACK] Seq=518 Ack=4236 Win=131072 Len=0 TSval=4029457887 TSecr=3675486291"
